iter	F1	Logloss
0	0.6934647303	0.6709438671
1	0.7199020208	0.6539353658
2	0.7226787686	0.6394839154
3	0.721214365	0.6274696499
4	0.7224474751	0.6177601816
5	0.724517233	0.6124437152
6	0.7226419693	0.6085414557
7	0.7267201556	0.6041188685
8	0.7240038873	0.5997890495
9	0.7232490272	0.5959089091
10	0.72303207	0.5929721505
11	0.7234609792	0.5904244603
12	0.7223974763	0.5876924878
13	0.7255259638	0.5847897128
14	0.7264978081	0.5822970879
15	0.7269849001	0.5800040686
16	0.7272948328	0.5777184977
17	0.7278696498	0.5756439171
18	0.7283995625	0.5741791128
19	0.7287104623	0.5723440377
20	0.7306757414	0.5705218933
21	0.7312089516	0.5692599221
22	0.7301471482	0.5667088817
23	0.7311618862	0.5638041464
24	0.7325793506	0.5619656539
25	0.7322231676	0.5607195217
26	0.7334386775	0.5591206948
27	0.7343559776	0.5577650965
28	0.7374301676	0.5564603595
29	0.7385176185	0.5549896134
30	0.7405786531	0.5537864997
31	0.7396759654	0.5521224825
32	0.7412093929	0.5513865068
33	0.7436084733	0.5500761452
34	0.743727162	0.5489392889
35	0.7453703704	0.5482278107
36	0.7458576998	0.5469919904
37	0.7448158087	0.5459339944
38	0.7473144531	0.5441720598
39	0.7484737485	0.5432200784
40	0.7485637453	0.5422711863
41	0.7501833293	0.5408103648
42	0.7516499633	0.5398522172
43	0.7527485952	0.5375986387
44	0.7538179597	0.5364268704
45	0.7541544477	0.5356919347
46	0.7546199976	0.5348947839
47	0.7557840617	0.5323613245
48	0.7572530297	0.5313602349
49	0.7579282478	0.530052479
50	0.7600979192	0.5290422443
51	0.7613219094	0.5279418911
52	0.7621846681	0.5262573171
53	0.7628385832	0.5256929178
54	0.7657381274	0.5236657074
55	0.7654926985	0.5227738115
56	0.7667362732	0.5221823089
57	0.7666789532	0.5214870443
58	0.7659208262	0.5198515082
59	0.7702337023	0.5176406574
60	0.7702719331	0.5168363223
61	0.7712208944	0.516168705
62	0.7719384615	0.5156154178
63	0.7718823095	0.5146598348
64	0.7725258493	0.5136172832
65	0.7727720335	0.5126078499
66	0.7743128313	0.5114827277
67	0.7749568647	0.5100765784
68	0.7755604829	0.5094319384
