iter	Passed	Remaining
0	554	553602
1	1119	558512
2	1637	544333
3	2169	540242
4	2700	537452
5	3277	543051
6	3799	538961
7	4331	537155
8	4869	536155
9	5370	531709
10	5854	526375
11	6323	520602
12	6914	524973
13	7405	521565
14	7879	517394
15	8370	514794
16	8854	511983
17	9336	509357
18	9818	506951
19	10303	504868
20	10795	503266
21	11279	501421
22	11760	499569
23	12241	497805
24	12478	486669
25	12983	486382
26	13454	484843
27	13948	484199
28	14439	483487
29	14925	482607
30	15397	481285
31	15886	480563
32	16359	479395
33	16843	478548
34	17326	477729
35	17807	476848
36	18291	476069
37	18792	475754
38	19290	475343
39	19783	474813
40	20273	474206
41	20763	473611
42	21245	472844
43	21729	472125
44	22213	471409
45	22692	470628
46	23166	469738
47	23655	469172
48	24158	468874
49	24641	468196
50	25115	467353
51	25601	466731
52	26087	466127
53	26569	465457
54	27067	465065
55	27558	464561
56	27801	459936
57	28290	459481
58	28776	458966
59	29271	458591
60	29745	457879
61	30229	457337
62	30733	457099
63	31220	456594
64	31688	455831
65	32172	455294
66	32649	454654
67	33123	453993
68	33607	453455
